Date: Nov 20, 2017; Open: 8039.07; High: 8336.86; Low: 7949.36; Close: 8200.64; Volume: 3,488,450,000; MCap: 134,167,000,000
Date: Nov 19, 2017; Open: 7766.03; High: 8101.91; Low: 7694.10; Close: 8036.49; Volume: 3,149,320,000; MCap: 129,595,000,000
Date: Nov 18, 2017; Open: 7697.21; High: 7884.99; Low: 7463.44; Close: 7790.15; Volume: 3,667,190,000; MCap: 128,425,000,000
Date: Nov 17, 2017; Open: 7853.57; High: 8004.59; Low: 7561.09; Close: 7708.99; Volume: 4,651,670,000; MCap: 131,026,000,000
Date: Nov 16, 2017; Open: 7323.24; High: 7967.38; Low: 7176.58; Close: 7871.69; Volume: 5,123,810,000; MCap: 122,164,000,000
Date: Nov 15, 2017; Open: 6634.76; High: 7342.25; Low: 6634.76; Close: 7315.54; Volume: 4,200,880,000; MCap: 110,667,000,000
Date: Nov 14, 2017; Open: 6561.48; High: 6764.98; Low: 6461.75; Close: 6635.75; Volume: 3,197,110,000; MCap: 109,434,000,000
Date: Nov 13, 2017; Open: 5938.25; High: 6811.19; Low: 5844.29; Close: 6559.49; Volume: 6,263,250,000; MCap: 99,029,000,000
Date: Nov 12, 2017; Open: 6295.45; High: 6625.05; Low: 5519.01; Close: 5950.07; Volume: 8,957,350,000; MCap: 104,980,000,000
Date: Nov 11, 2017; Open: 6618.61; High: 6873.15; Low: 6204.22; Close: 6357.60; Volume: 4,908,680,000; MCap: 110,362,000,000
Date: Nov 10, 2017; Open: 7173.73; High: 7312.00; Low: 6436.87; Close: 6618.14; Volume: 5,208,250,000; MCap: 119,607,000,000
Date: Nov 09, 2017; Open: 7446.83; High: 7446.83; Low: 7101.52; Close: 7143.58; Volume: 3,226,250,000; MCap: 124,146,000,000
Date: Nov 08, 2017; Open: 7141.38; High: 7776.42; Low: 7114.02; Close: 7459.69; Volume: 4,602,200,000; MCap: 119,041,000,000
Date: Nov 07, 2017; Open: 7023.10; High: 7253.32; Low: 7023.10; Close: 7144.38; Volume: 2,326,340,000; MCap: 117,056,000,000
Date: Nov 06, 2017; Open: 7403.22; High: 7445.77; Low: 7007.31; Close: 7022.76; Volume: 3,111,900,000; MCap: 123,379,000,000
Date: Nov 05, 2017; Open: 7404.52; High: 7617.48; Low: 7333.19; Close: 7407.41; Volume: 2,380,410,000; MCap: 123,388,000,000
Date: Nov 04, 2017; Open: 7164.48; High: 7492.86; Low: 7031.28; Close: 7379.95; Volume: 2,483,800,000; MCap: 119,376,000,000
